b_code,b_eng,b_kor,b_level,b_group_code,b_group_eng,b_group_kor
B11,notice,공지,9,B1,general,일반
B12,free,자유게시판,1,B1,general,일반
B21,animals,동물,1,B2,hobbies,취미
B22,plants,식물,1,B2,hobbies,취미
B31,programming,프로그래밍,1,B3,learning,학습
B32,design,디자인,1,B3,learning,학습
B41,health,건강,1,B4,lifestyle,생활
B42,fashion,패션,1,B4,lifestyle,생활
B51,politics,정치,1,B5,issue,이슈
B52,entertainment,연예,1,B5,issue,이슈
